Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
336-78-2147;C;Naypyitaw;Member;Male;Home and lifestyle;6391;8;25564;536844;13/03/2019;19:52:00;Credit card;51128;4761904762;25564;46
886-18-2897;A;Yangon;Normal;Female;Food and beverages;5656;5;1414;29694;22/03/2019;19:06:00;Credit card;2828;4761904762;1414;45
593-08-5916;A;Yangon;Normal;Female;Fashion accessories;155;1;775;16275;19/03/2019;15:23:00;Credit card;155;4761904762;775;74
595-94-9924;A;Yangon;Member;Female;Health and beauty;2773;5;69325;1455825;26/03/2019;20:21:00;Credit card;13865;4761904762;69325;42
448-61-3783;A;Yangon;Normal;Female;Electronic accessories;9002;8;36008;756168;21/03/2019;16:08:00;Credit card;72016;4761904762;36008;45
737-88-5876;A;Yangon;Member;Male;Home and lifestyle;2329;4;4658;97818;19/03/2019;11:52:00;Credit card;9316;4761904762;4658;59
760-53-9233;A;Yangon;Member;Male;Fashion accessories;4128;3;6192;130032;26/03/2019;18:37:00;Credit card;12384;4761904762;6192;85
651-96-5970;A;Yangon;Normal;Male;Fashion accessories;4641;1;23205;487305;03/03/2019;20:06:00;Credit card;4641;4761904762;23205;4
585-86-8361;A;Yangon;Normal;Female;Food and beverages;2728;5;682;14322;02/03/2019;10:31:00;Credit card;1364;4761904762;682;86
169-52-4504;A;Yangon;Normal;Female;Electronic accessories;1569;3;23535;494235;14/03/2019;14:13:00;Credit card;4707;4761904762;23535;58
610-46-4100;A;Yangon;Normal;Male;Health and beauty;2895;7;101325;2127825;03/03/2019;20:31:00;Credit card;20265;4761904762;101325;6
420-97-3340;A;Yangon;Normal;Female;Food and beverages;7168;3;10752;225792;28/03/2019;15:30:00;Credit card;21504;4761904762;10752;92
550-84-8664;A;Yangon;Normal;Male;Sports and travel;8591;5;214775;4510275;22/03/2019;14:33:00;Credit card;42955;4761904762;214775;86
510-09-5628;A;Yangon;Member;Female;Fashion accessories;1966;10;983;20643;15/03/2019;18:20:00;Credit card;1966;4761904762;983;72
485-30-8700;A;Yangon;Normal;Female;Sports and travel;3326;5;8315;174615;18/03/2019;16:10:00;Credit card;1663;4761904762;8315;42
470-32-9057;A;Yangon;Member;Male;Food and beverages;5134;5;12835;269535;28/03/2019;15:31:00;Credit card;2567;4761904762;12835;91
422-29-8786;A;Yangon;Normal;Female;Home and lifestyle;6709;5;167725;3522225;01/03/2019;16:47:00;Credit card;33545;4761904762;167725;91
527-09-6272;A;Yangon;Member;Female;Electronic accessories;2845;5;71125;1493625;21/03/2019;10:17:00;Credit card;14225;4761904762;71125;91
442-48-3607;A;Yangon;Member;Male;Food and beverages;2348;2;2348;49308;14/03/2019;11:21:00;Credit card;4696;4761904762;2348;79
439-54-7422;A;Yangon;Normal;Female;Electronic accessories;5119;4;10238;214998;18/03/2019;17:15:00;Credit card;20476;4761904762;10238;47
828-61-5674;A;Yangon;Member;Male;Sports and travel;4402;10;2201;46221;20/03/2019;19:57:00;Credit card;4402;4761904762;2201;96
802-43-8934;A;Yangon;Normal;Male;Home and lifestyle;1828;1;914;19194;22/03/2019;15:05:00;Credit card;1828;4761904762;914;83
831-07-6050;A;Yangon;Normal;Male;Electronic accessories;3271;5;81775;1717275;19/03/2019;11:30:00;Credit card;16355;4761904762;81775;99
175-54-2529;A;Yangon;Member;Male;Food and beverages;2217;8;8868;186228;03/03/2019;17:01:00;Credit card;17736;4761904762;8868;96
101-17-6199;A;Yangon;Normal;Male;Food and beverages;4579;7;160265;3365565;13/03/2019;19:44:00;Credit card;32053;4761904762;160265;7
238-49-0436;A;Yangon;Normal;Male;Health and beauty;3246;8;12984;272664;27/03/2019;13:48:00;Credit card;25968;4761904762;12984;49
633-44-8566;A;Yangon;Member;Male;Food and beverages;4938;7;17283;362943;27/03/2019;20:35:00;Credit card;34566;4761904762;17283;73
595-11-5460;A;Yangon;Normal;Male;Health and beauty;9658;2;9658;202818;15/03/2019;10:12:00;Credit card;19316;4761904762;9658;51
227-03-5010;A;Yangon;Member;Female;Home and lifestyle;5259;8;21036;441756;22/03/2019;19:20:00;Credit card;42072;4761904762;21036;85
631-41-3108;A;Yangon;Normal;Male;Home and lifestyle;4633;7;162155;3405255;03/03/2019;13:23:00;Credit card;32431;4761904762;162155;74
552-44-5977;B;Mandalay;Member;Male;Health and beauty;62;8;248;5208;01/03/2019;19:08:00;Credit card;496;4761904762;248;62
313-66-9943;B;Mandalay;Member;Female;Food and beverages;2915;3;43725;918225;27/03/2019;20:29:00;Credit card;8745;4761904762;43725;73
851-98-3555;B;Mandalay;Normal;Female;Health and beauty;8288;5;2072;43512;24/03/2019;14:08:00;Credit card;4144;4761904762;2072;66
361-59-0574;B;Mandalay;Member;Male;Sports and travel;9053;8;36212;760452;15/03/2019;14:48:00;Credit card;72424;4761904762;36212;65
152-03-4217;B;Mandalay;Normal;Female;Home and lifestyle;1128;9;5076;106596;17/03/2019;11:55:00;Credit card;10152;4761904762;5076;43
190-59-3964;B;Mandalay;Member;Male;Food and beverages;4716;5;1179;24759;02/03/2019;14:35:00;Credit card;2358;4761904762;1179;6
359-94-5395;B;Mandalay;Normal;Male;Health and beauty;9278;1;4639;97419;15/03/2019;10:50:00;Credit card;9278;4761904762;4639;98
487-79-6868;B;Mandalay;Member;Female;Home and lifestyle;1229;9;55305;1161405;26/03/2019;19:28:00;Credit card;11061;4761904762;55305;8
776-68-1096;B;Mandalay;Normal;Male;Home and lifestyle;4412;3;6618;138978;18/03/2019;13:45:00;Credit card;13236;4761904762;6618;79
176-64-7711;B;Mandalay;Normal;Male;Food and beverages;3232;3;4848;101808;27/03/2019;19:11:00;Credit card;9696;4761904762;4848;43
725-67-2480;B;Mandalay;Member;Female;Fashion accessories;5875;6;17625;370125;24/03/2019;18:14:00;Credit card;3525;4761904762;17625;59
182-88-2763;B;Mandalay;Member;Male;Food and beverages;7991;3;119865;2517165;20/03/2019;19:28:00;Credit card;23973;4761904762;119865;5
734-91-1155;B;Mandalay;Normal;Female;Electronic accessories;4571;3;68565;1439865;26/03/2019;10:34:00;Credit card;13713;4761904762;68565;77
277-63-2961;B;Mandalay;Member;Male;Sports and travel;7397;1;36985;776685;02/03/2019;15:53:00;Credit card;7397;4761904762;36985;54
234-03-4040;B;Mandalay;Member;Female;Food and beverages;7305;10;36525;767025;03/03/2019;12:25:00;Credit card;7305;4761904762;36525;87
449-27-2918;B;Mandalay;Member;Female;Sports and travel;3912;1;1956;41076;26/03/2019;11:02:00;Credit card;3912;4761904762;1956;96
394-30-3170;B;Mandalay;Member;Female;Sports and travel;8843;8;35372;742812;22/03/2019;19:35:00;Credit card;70744;4761904762;35372;43
650-98-6268;B;Mandalay;Member;Female;Food and beverages;2087;3;31305;657405;20/03/2019;13:53:00;Credit card;6261;4761904762;31305;8
301-81-8610;B;Mandalay;Member;Male;Fashion accessories;2542;8;10168;213528;19/03/2019;19:42:00;Credit card;20336;4761904762;10168;67
115-99-4379;B;Mandalay;Member;Female;Fashion accessories;5473;7;191555;4022655;14/03/2019;19:02:00;Credit card;38311;4761904762;191555;85
608-96-3517;B;Mandalay;Member;Female;Fashion accessories;9154;4;18308;384468;23/03/2019;19:20:00;Credit card;36616;4761904762;18308;48
273-16-6619;B;Mandalay;Normal;Male;Home and lifestyle;332;2;332;6972;15/03/2019;12:20:00;Credit card;664;4761904762;332;44
118-62-1812;C;Naypyitaw;Member;Female;Home and lifestyle;7838;4;15676;329196;24/03/2019;17:56:00;Cash;31352;4761904762;15676;79
468-99-7231;C;Naypyitaw;Normal;Female;Home and lifestyle;4401;8;17604;369684;03/03/2019;17:36:00;Cash;35208;4761904762;17604;88
318-81-2368;C;Naypyitaw;Normal;Female;Electronic accessories;462;1;231;4851;19/03/2019;12:16:00;Cash;462;4761904762;231;63
451-28-5717;C;Naypyitaw;Member;Female;Home and lifestyle;8317;6;24951;523971;20/03/2019;11:23:00;Cash;49902;4761904762;24951;73
320-32-8842;C;Naypyitaw;Member;Female;Food and beverages;2262;1;1131;23751;17/03/2019;18:58:00;Cash;2262;4761904762;1131;64
326-71-2155;C;Naypyitaw;Normal;Female;Sports and travel;7395;4;1479;31059;02/03/2019;10:02:00;Cash;2958;4761904762;1479;61
462-78-5240;C;Naypyitaw;Normal;Female;Electronic accessories;2661;2;2661;55881;19/03/2019;14:35:00;Cash;5322;4761904762;2661;42
122-61-9553;C;Naypyitaw;Normal;Female;Electronic accessories;5132;9;23094;484974;14/03/2019;19:33:00;Cash;46188;4761904762;23094;56
211-05-0490;C;Naypyitaw;Member;Female;Electronic accessories;5192;5;1298;27258;03/03/2019;13:42:00;Cash;2596;4761904762;1298;75
687-15-1097;C;Naypyitaw;Member;Female;Health and beauty;2112;2;2112;44352;01/03/2019;19:17:00;Cash;4224;4761904762;2112;97
286-43-6208;C;Naypyitaw;Normal;Female;Food and beverages;878;9;3951;82971;16/03/2019;19:08:00;Cash;7902;4761904762;3951;92
588-01-7461;C;Naypyitaw;Normal;Female;Food and beverages;3398;9;15291;321111;24/03/2019;10:43:00;Cash;30582;4761904762;15291;42
364-34-2972;C;Naypyitaw;Member;Male;Electronic accessories;9682;3;14523;304983;30/03/2019;20:37:00;Cash;29046;4761904762;14523;67
256-58-3609;C;Naypyitaw;Member;Male;Fashion accessories;9198;1;4599;96579;18/03/2019;15:29:00;Cash;9198;4761904762;4599;98
702-83-5291;C;Naypyitaw;Member;Male;Fashion accessories;9982;9;44919;943299;27/03/2019;10:43:00;Cash;89838;4761904762;44919;66
538-22-0304;C;Naypyitaw;Normal;Male;Electronic accessories;6495;10;32475;681975;24/03/2019;18:27:00;Cash;6495;4761904762;32475;52
102-06-2002;C;Naypyitaw;Member;Male;Sports and travel;2525;5;63125;1325625;20/03/2019;17:52:00;Cash;12625;4761904762;63125;61
733-29-1227;C;Naypyitaw;Normal;Male;Home and lifestyle;5561;7;194635;4087335;23/03/2019;12:41:00;Cash;38927;4761904762;194635;85
173-57-2300;C;Naypyitaw;Member;Male;Sports and travel;7288;2;7288;153048;13/03/2019;12:51:00;Cash;14576;4761904762;7288;61
778-89-7974;C;Naypyitaw;Normal;Male;Health and beauty;7021;6;21063;442323;30/03/2019;14:58:00;Cash;42126;4761904762;21063;74
379-17-6588;C;Naypyitaw;Normal;Male;Fashion accessories;5961;10;29805;625905;14/03/2019;11:07:00;Cash;5961;4761904762;29805;53
639-76-1242;C;Naypyitaw;Normal;Male;Food and beverages;4052;5;1013;21273;02/03/2019;15:19:00;Cash;2026;4761904762;1013;45
727-75-6477;C;Naypyitaw;Normal;Male;Electronic accessories;2884;4;5768;121128;29/03/2019;14:44:00;Cash;11536;4761904762;5768;64
593-95-4461;C;Naypyitaw;Member;Male;Home and lifestyle;7486;1;3743;78603;24/03/2019;14:49:00;Cash;7486;4761904762;3743;69
537-72-0426;C;Naypyitaw;Member;Male;Fashion accessories;7099;10;35495;745395;20/03/2019;16:28:00;Cash;7099;4761904762;35495;57
848-24-9445;C;Naypyitaw;Member;Male;Health and beauty;437;2;437;9177;26/03/2019;18:03:00;Cash;874;4761904762;437;49
733-33-4967;C;Naypyitaw;Normal;Male;Electronic accessories;2085;8;834;17514;03/03/2019;19:17:00;Cash;1668;4761904762;834;63
861-77-0145;C;Naypyitaw;Member;Male;Electronic accessories;8197;10;40985;860685;03/03/2019;14:30:00;Cash;8197;4761904762;40985;92
163-56-7055;C;Naypyitaw;Member;Male;Fashion accessories;4871;1;24355;511455;26/03/2019;19:20:00;Cash;4871;4761904762;24355;41
362-58-8315;C;Naypyitaw;Normal;Male;Fashion accessories;7652;5;1913;40173;25/03/2019;10:23:00;Cash;3826;4761904762;1913;99
326-78-5178;C;Naypyitaw;Member;Male;Food and beverages;914;7;3199;67179;02/03/2019;10:19:00;Cash;6398;4761904762;3199;95
617-15-4209;C;Naypyitaw;Member;Male;Health and beauty;1537;2;1537;32277;16/03/2019;19:47:00;Cash;3074;4761904762;1537;72
875-31-8302;B;Mandalay;Normal;Male;Sports and travel;9338;1;4669;98049;01/03/2019;13:07:00;Cash;9338;4761904762;4669;96
711-31-1234;B;Mandalay;Normal;Female;Electronic accessories;9564;4;19128;401688;16/03/2019;18:51:00;Cash;38256;4761904762;19128;79
186-79-9562;B;Mandalay;Normal;Male;Health and beauty;7177;7;251195;5275095;29/03/2019;14:06:00;Cash;50239;4761904762;251195;89
642-61-4706;B;Mandalay;Member;Male;Food and beverages;934;2;934;19614;30/03/2019;16:34:00;Cash;1868;4761904762;934;55
322-02-2271;B;Mandalay;Normal;Female;Sports and travel;4297;3;64455;1353555;02/03/2019;11:46:00;Cash;12891;4761904762;64455;93
574-31-8277;B;Mandalay;Member;Male;Fashion accessories;3363;1;16815;353115;20/03/2019;19:55:00;Cash;3363;4761904762;16815;56
628-90-8624;B;Mandalay;Member;Male;Health and beauty;8258;10;4129;86709;14/03/2019;14:41:00;Cash;8258;4761904762;4129;5
585-11-6748;B;Mandalay;Member;Male;Sports and travel;968;3;1452;30492;15/03/2019;13:05:00;Cash;2904;4761904762;1452;53
514-37-2845;B;Mandalay;Normal;Male;Fashion accessories;9925;2;9925;208425;20/03/2019;13:02:00;Cash;1985;4761904762;9925;9
174-75-0888;B;Mandalay;Normal;Male;Electronic accessories;2158;9;9711;203931;14/03/2019;12:32:00;Cash;19422;4761904762;9711;73
291-21-5991;B;Mandalay;Member;Male;Health and beauty;6129;5;153225;3217725;29/03/2019;14:28:00;Cash;30645;4761904762;153225;7
282-35-2475;B;Mandalay;Normal;Female;Sports and travel;9331;2;9331;195951;25/03/2019;17:53:00;Cash;18662;4761904762;9331;63
632-32-4574;B;Mandalay;Normal;Male;Sports and travel;7592;8;30368;637728;20/03/2019;14:14:00;Cash;60736;4761904762;30368;55
731-59-7531;B;Mandalay;Member;Male;Health and beauty;7257;8;29028;609588;30/03/2019;17:58:00;Cash;58056;4761904762;29028;46
554-53-3790;B;Mandalay;Normal;Male;Sports and travel;3702;6;11106;233226;22/03/2019;18:33:00;Cash;22212;4761904762;11106;45
760-54-1821;B;Mandalay;Normal;Male;Home and lifestyle;1359;9;61155;1284255;15/03/2019;10:26:00;Cash;12231;4761904762;61155;58
578-80-7669;B;Mandalay;Normal;Male;Sports and travel;7497;1;37485;787185;16/03/2019;16:58:00;Cash;7497;4761904762;37485;56
655-85-5130;B;Mandalay;Member;Female;Fashion accessories;383;4;766;16086;13/03/2019;19:22:00;Cash;1532;4761904762;766;57
560-30-5617;B;Mandalay;Normal;Female;Sports and travel;2477;5;61925;1300425;24/03/2019;18:27:00;Cash;12385;4761904762;61925;85
542-41-0513;B;Mandalay;Member;Female;Electronic accessories;5749;4;11498;241458;15/03/2019;11:57:00;Cash;22996;4761904762;11498;66
716-39-1409;B;Mandalay;Normal;Male;Health and beauty;3035;7;106225;2230725;19/03/2019;18:19:00;Cash;21245;4761904762;106225;8
777-82-7220;B;Mandalay;Member;Male;Home and lifestyle;3012;8;12048;253008;03/03/2019;13:01:00;Cash;24096;4761904762;12048;77
605-03-2706;A;Yangon;Normal;Female;Health and beauty;158;3;237;4977;25/03/2019;18:02:00;Cash;474;4761904762;237;95
333-23-2632;A;Yangon;Member;Male;Health and beauty;1008;7;3528;74088;28/03/2019;20:14:00;Cash;7056;4761904762;3528;42
361-85-2571;A;Yangon;Normal;Female;Sports and travel;8948;5;2237;46977;30/03/2019;10:18:00;Cash;4474;4761904762;2237;74
548-48-3156;A;Yangon;Member;Female;Food and beverages;8334;2;8334;175014;19/03/2019;13:37:00;Cash;16668;4761904762;8334;76
807-34-3742;A;Yangon;Normal;Male;Fashion accessories;5238;1;2619;54999;26/03/2019;19:44:00;Cash;5238;4761904762;2619;58
674-56-6360;A;Yangon;Normal;Male;Electronic accessories;9515;1;47575;999075;22/03/2019;14:00:00;Cash;9515;4761904762;47575;6
220-68-6701;A;Yangon;Normal;Female;Home and lifestyle;7747;4;15494;325374;17/03/2019;16:36:00;Cash;30988;4761904762;15494;42
805-86-0265;A;Yangon;Normal;Male;Home and lifestyle;9396;9;42282;887922;20/03/2019;11:32:00;Cash;84564;4761904762;42282;98
742-04-5161;A;Yangon;Member;Male;Home and lifestyle;7278;10;3639;76419;02/03/2019;17:24:00;Cash;7278;4761904762;3639;73
436-54-4512;A;Yangon;Member;Female;Food and beverages;9161;1;45805;961905;20/03/2019;19:44:00;Cash;9161;4761904762;45805;98
278-86-2735;A;Yangon;Normal;Female;Food and beverages;5234;3;7851;164871;27/03/2019;14:03:00;Cash;15702;4761904762;7851;92
797-88-0493;A;Yangon;Normal;Female;Health and beauty;6427;4;12854;269934;26/03/2019;13:54:00;Cash;25708;4761904762;12854;77
134-75-2619;A;Yangon;Member;Male;Electronic accessories;1932;7;6762;142002;25/03/2019;18:51:00;Cash;13524;4761904762;6762;69
189-52-0236;A;Yangon;Normal;Male;Electronic accessories;9955;7;348425;7316925;14/03/2019;12:07:00;Cash;69685;4761904762;348425;76
676-39-6028;A;Yangon;Member;Female;Electronic accessories;6444;5;1611;33831;30/03/2019;17:04:00;Cash;3222;4761904762;1611;66
468-88-0009;A;Yangon;Member;Male;Home and lifestyle;6594;4;13188;276948;24/03/2019;10:29:00;Cash;26376;4761904762;13188;6
531-80-1784;A;Yangon;Normal;Male;Electronic accessories;2602;7;9107;191247;28/03/2019;17:38:00;Cash;18214;4761904762;9107;51
566-71-1091;A;Yangon;Normal;Male;Fashion accessories;7702;5;19255;404355;02/03/2019;15:59:00;Cash;3851;4761904762;19255;55
340-66-0321;A;Yangon;Member;Male;Electronic accessories;3636;4;7272;152712;25/03/2019;13:07:00;Cash;14544;4761904762;7272;76
286-01-5402;A;Yangon;Normal;Female;Sports and travel;4023;7;140805;2956905;30/03/2019;13:22:00;Cash;28161;4761904762;140805;96
430-60-3493;A;Yangon;Member;Female;Home and lifestyle;9488;7;33208;697368;02/03/2019;14:38:00;Cash;66416;4761904762;33208;42
290-68-2984;A;Yangon;Normal;Male;Home and lifestyle;2375;4;475;9975;16/03/2019;11:22:00;Cash;95;4761904762;475;52
213-72-6612;A;Yangon;Normal;Male;Food and beverages;4325;2;4325;90825;20/03/2019;15:56:00;Cash;865;4761904762;4325;62
630-74-5166;A;Yangon;Normal;Male;Sports and travel;6213;6;18639;391419;22/03/2019;20:19:00;Cash;37278;4761904762;18639;74
212-62-1842;A;Yangon;Normal;Male;Food and beverages;5826;6;17478;367038;28/03/2019;16:44:00;Cash;34956;4761904762;17478;99
877-22-3308;A;Yangon;Member;Male;Health and beauty;1587;10;7935;166635;13/03/2019;16:40:00;Cash;1587;4761904762;7935;58
106-35-6779;A;Yangon;Member;Male;Home and lifestyle;4434;2;4434;93114;27/03/2019;11:26:00;Cash;8868;4761904762;4434;58
848-62-7243;A;Yangon;Normal;Male;Health and beauty;2489;9;112005;2352105;15/03/2019;15:36:00;Cash;22401;4761904762;112005;74
829-34-3910;A;Yangon;Normal;Female;Health and beauty;7138;10;3569;74949;29/03/2019;19:21:00;Cash;7138;4761904762;3569;57
267-62-7380;C;Naypyitaw;Member;Male;Electronic accessories;8234;10;4117;86457;29/03/2019;19:12:00;Ewallet;8234;4761904762;4117;43
500-02-2261;C;Naypyitaw;Normal;Female;Food and beverages;5729;6;17187;360927;21/03/2019;17:04:00;Ewallet;34374;4761904762;17187;59
457-12-0244;C;Naypyitaw;Member;Female;Sports and travel;3522;6;10566;221886;14/03/2019;13:49:00;Ewallet;21132;4761904762;10566;65
137-74-8729;C;Naypyitaw;Normal;Female;Fashion accessories;1219;8;4876;102396;13/03/2019;12:47:00;Ewallet;9752;4761904762;4876;68
154-87-7367;C;Naypyitaw;Normal;Male;Home and lifestyle;6526;8;26104;548184;15/03/2019;14:04:00;Ewallet;52208;4761904762;26104;63
584-66-4073;C;Naypyitaw;Normal;Male;Fashion accessories;565;1;2825;59325;13/03/2019;15:45:00;Ewallet;565;4761904762;2825;96
474-33-8305;C;Naypyitaw;Member;Male;Fashion accessories;6739;7;235865;4953165;23/03/2019;13:23:00;Ewallet;47173;4761904762;235865;69
324-41-6833;C;Naypyitaw;Member;Female;Electronic accessories;302;8;1208;25368;03/03/2019;19:30:00;Ewallet;2416;4761904762;1208;51
210-74-9613;C;Naypyitaw;Normal;Male;Fashion accessories;9726;4;19452;408492;16/03/2019;15:33:00;Ewallet;38904;4761904762;19452;68
728-88-7867;C;Naypyitaw;Member;Female;Home and lifestyle;7553;4;15106;317226;19/03/2019;15:52:00;Ewallet;30212;4761904762;15106;83
155-45-3814;C;Naypyitaw;Member;Female;Electronic accessories;8855;8;3542;74382;19/03/2019;15:29:00;Ewallet;7084;4761904762;3542;47
840-19-2096;C;Naypyitaw;Member;Male;Electronic accessories;8791;5;219775;4615275;14/03/2019;18:10:00;Ewallet;43955;4761904762;219775;44
373-09-4567;C;Naypyitaw;Normal;Male;Food and beverages;7756;10;3878;81438;14/03/2019;20:35:00;Ewallet;7756;4761904762;3878;69
236-27-1144;C;Naypyitaw;Normal;Female;Food and beverages;1631;9;73395;1541295;26/03/2019;10:31:00;Ewallet;14679;4761904762;73395;84
413-20-6708;C;Naypyitaw;Member;Female;Fashion accessories;5147;1;25735;540435;18/03/2019;15:52:00;Ewallet;5147;4761904762;25735;85
751-69-0068;C;Naypyitaw;Normal;Male;Sports and travel;9924;9;44658;937818;19/03/2019;19:09:00;Ewallet;89316;4761904762;44658;9
266-76-6436;C;Naypyitaw;Member;Female;Food and beverages;386;3;579;12159;28/03/2019;13:57:00;Ewallet;1158;4761904762;579;75
730-70-9830;C;Naypyitaw;Normal;Female;Home and lifestyle;7011;6;21033;441693;14/03/2019;17:54:00;Ewallet;42066;4761904762;21033;52
835-16-0096;C;Naypyitaw;Member;Male;Sports and travel;147;5;3675;77175;24/03/2019;13:48:00;Ewallet;735;4761904762;3675;85
558-80-4082;C;Naypyitaw;Normal;Male;Electronic accessories;2785;7;97475;2046975;14/03/2019;17:20:00;Ewallet;19495;4761904762;97475;6
263-87-5680;C;Naypyitaw;Member;Female;Home and lifestyle;2853;10;14265;299565;18/03/2019;17:38:00;Ewallet;2853;4761904762;14265;78
574-22-5561;C;Naypyitaw;Member;Female;Fashion accessories;8263;10;41315;867615;19/03/2019;17:08:00;Ewallet;8263;4761904762;41315;79
333-73-7901;C;Naypyitaw;Normal;Female;Health and beauty;5492;8;21968;461328;23/03/2019;13:24:00;Ewallet;43936;4761904762;21968;76
699-14-3026;C;Naypyitaw;Normal;Male;Electronic accessories;8539;7;298865;6276165;25/03/2019;18:30:00;Ewallet;59773;4761904762;298865;41
676-10-2200;B;Mandalay;Member;Male;Fashion accessories;5378;1;2689;56469;02/03/2019;20:13:00;Ewallet;5378;4761904762;2689;47
501-61-1753;B;Mandalay;Normal;Female;Home and lifestyle;6315;6;18945;397845;01/03/2019;20:24:00;Ewallet;3789;4761904762;18945;98
641-62-7288;B;Mandalay;Normal;Male;Home and lifestyle;9992;6;29976;629496;24/03/2019;13:33:00;Ewallet;59952;4761904762;29976;71
366-43-6862;B;Mandalay;Normal;Male;Electronic accessories;5289;4;10578;222138;25/03/2019;16:32:00;Ewallet;21156;4761904762;10578;67
499-27-7781;B;Mandalay;Normal;Female;Food and beverages;5321;8;21284;446964;14/03/2019;16:45:00;Ewallet;42568;4761904762;21284;5
565-91-4567;B;Mandalay;Normal;Male;Health and beauty;1075;8;43;903;15/03/2019;14:38:00;Ewallet;86;4761904762;43;62
605-83-1050;B;Mandalay;Normal;Male;Fashion accessories;2718;2;2718;57078;15/03/2019;16:26:00;Ewallet;5436;4761904762;2718;43
210-30-7976;B;Mandalay;Member;Female;Fashion accessories;2232;4;4464;93744;14/03/2019;11:16:00;Ewallet;8928;4761904762;4464;41
794-32-2436;B;Mandalay;Member;Male;Electronic accessories;5567;2;5567;116907;27/03/2019;15:08:00;Ewallet;11134;4761904762;5567;6
420-04-7590;B;Mandalay;Normal;Male;Home and lifestyle;997;3;14955;314055;18/03/2019;11:29:00;Ewallet;2991;4761904762;14955;47
642-30-6693;B;Mandalay;Normal;Female;Sports and travel;5451;6;16353;343413;17/03/2019;13:54:00;Ewallet;32706;4761904762;16353;78
701-23-5550;B;Mandalay;Member;Male;Home and lifestyle;3881;4;7762;163002;19/03/2019;13:40:00;Ewallet;15524;4761904762;7762;49
425-85-2085;B;Mandalay;Member;Male;Health and beauty;5486;5;13715;288015;29/03/2019;16:48:00;Ewallet;2743;4761904762;13715;98
686-41-0932;B;Mandalay;Normal;Female;Fashion accessories;347;2;347;7287;13/03/2019;19:48:00;Ewallet;694;4761904762;347;82
438-01-4015;B;Mandalay;Member;Female;Sports and travel;4949;4;9898;207858;21/03/2019;15:25:00;Ewallet;19796;4761904762;9898;66
701-69-8742;B;Mandalay;Normal;Male;Sports and travel;3437;10;17185;360885;16/03/2019;10:11:00;Ewallet;3437;4761904762;17185;67
585-03-5943;B;Mandalay;Normal;Male;Health and beauty;1811;10;9055;190155;13/03/2019;11:46:00;Ewallet;1811;4761904762;9055;59
142-63-6033;B;Mandalay;Normal;Male;Home and lifestyle;9236;5;2309;48489;20/03/2019;19:17:00;Ewallet;4618;4761904762;2309;49
573-58-9734;B;Mandalay;Normal;Female;Fashion accessories;3037;3;45555;956655;28/03/2019;13:41:00;Ewallet;9111;4761904762;45555;51
305-14-0245;B;Mandalay;Member;Female;Home and lifestyle;9449;8;37796;793716;03/03/2019;19:00:00;Ewallet;75592;4761904762;37796;75
423-57-2993;B;Mandalay;Normal;Male;Sports and travel;9339;6;28017;588357;27/03/2019;19:18:00;Ewallet;56034;4761904762;28017;10
